case_id,supplier_id,supplier_name,invoice_id,po_id,invoice_date,case_created_date,disputed_amount_usd,system_reason_code,priority_supplier,case_status,resolution,approval_level,handling_minutes,resolution_days,sla_target_days,sla_met,reopened,missing_evidence,systems_accessed,systems_accessed_count,documents_reviewed,documents_reviewed_count,analyst_id
MRG-2026-0001,V-744205,BluePeak Logistics,INV-106550,PO-592681,2026-08-15,2026-08-24,12836.82,CONTRACT_TERM,No,CLOSED,ESCALATE,AP Team Lead,65,2.0,5,Yes,No,No,Coupa; Outlook; SAP; SharePoint,4,Amendment; Email Thread; PO,3,AP-A07
MRG-2026-0002,V-100184,NorthStar Consumer Products,INV-104564,PO-781102,2026-01-06,2026-01-25,66101.8,QUANTITY_MISMATCH,Yes,CLOSED,PAY_PO_AMOUNT,AP Manager,12,2.7,3,Yes,No,No,Coupa; Outlook; Receiving; SAP,4,Goods Receipt; Invoice; PO; Proof of Delivery,4,AP-A01
MRG-2026-0003,V-100184,NorthStar Consumer Products,INV-734844,PO-554488,2026-06-17,2026-06-21,26827.67,FREIGHT,Yes,CLOSED,REQUEST_CREDIT_NOTE,AP Team Lead,23,1.1,3,Yes,No,No,Coupa; Outlook; Receiving; SAP,4,Invoice; PO; Proof of Delivery,3,AP-A02
MRG-2026-0004,V-203811,Apex Industrial Supply,INV-198195,PO-632232,2026-06-16,2026-06-26,14555.26,PRICE_MISMATCH,No,CLOSED,PAY_PO_AMOUNT,AP Team Lead,21,1.0,5,Yes,No,No,Coupa; Outlook; SAP; SharePoint,4,Invoice; PO; Pricing Agreement,3,AP-A04
MRG-2026-0005,V-301442,Solara Imports,INV-825577,PO-844405,2026-07-24,2026-08-12,18624.02,DUPLICATE,Yes,CLOSED,REJECT_DISPUTE,AP Team Lead,4,20.1,3,No,No,Yes,Coupa; SAP,2,Invoice; Payment History; Prior Invoice,3,AP-A01
MRG-2026-0006,V-301442,Solara Imports,INV-286559,PO-787337,2026-03-22,2026-03-25,45459.9,MISSING_RECEIPT,Yes,CLOSED,ESCALATE,AP Team Lead,17,14.1,3,No,No,Yes,Receiving; SAP,2,Invoice; PO; Proof of Delivery; Receiving Confirmation,4,AP-A02
MRG-2026-0007,V-512870,Pinnacle Packaging,INV-887778,PO-982508,2026-01-23,2026-02-07,35979.32,MISSING_RECEIPT,No,CLOSED,PAY_AS_INVOICED,AP Team Lead,15,13.4,5,No,No,No,Coupa; Outlook; Receiving; SAP,4,Invoice; PO,2,AP-A06
MRG-2026-0008,V-203811,Apex Industrial Supply,INV-954437,PO-864214,2026-06-29,2026-07-22,12275.67,MISSING_RECEIPT,No,CLOSED,ESCALATE,AP Team Lead,23,17.7,5,No,No,Yes,Coupa; Receiving; SAP,3,PO; Proof of Delivery,2,AP-A08
MRG-2026-0009,V-410221,Harbor Home Goods,INV-627668,PO-651538,2026-06-14,2026-06-25,48574.52,OTHER,No,CLOSED,PARTIAL_ADJUSTMENT,AP Team Lead,53,11.8,5,No,Yes,No,Coupa; SharePoint,2,Amendment; Email Thread; Invoice; PO,4,AP-A07
MRG-2026-0010,V-410221,Harbor Home Goods,INV-379394,PO-890932,2026-06-22,2026-07-04,19188.64,MISSING_RECEIPT,No,CLOSED,REJECT_DISPUTE,AP Team Lead,19,2.0,5,Yes,No,No,Coupa; Outlook; Receiving,3,Invoice; Proof of Delivery; Receiving Confirmation,3,AP-A04
